%time Wind Power_wind
796 10.8043801 51493.8026653
797 10.8043801 51493.8026653
798 10.8043801 51493.8026653
799 10.8043801 51493.8026653
800 10.8043801 51493.8026653
801 10.8043801 51493.8026653
802 10.8043801 51493.8026653
803 10.8043801 51493.8026653
804 10.8043801 51493.8026653
805 10.8043801 51493.8026653
806 10.8043801 51493.8026653
807 10.8043801 51493.8026653
808 10.8043801 51493.8026653
809 10.8043801 51493.8026653
810 10.8043801 51493.8026653
811 10.8043801 51493.8026653
812 10.8043801 51493.8026653
813 10.8043801 51493.8026653
814 10.8043801 51493.8026653
815 10.8043801 51493.8026653
816 10.8043801 51493.8026653
817 10.8043801 51493.8026653
818 10.8043801 51493.8026653
819 10.8043801 51493.8026653
820 10.8043801 51493.8026653
821 10.8043801 51493.8026653
822 10.8043801 51493.8026653
823 10.8043801 51493.8026653
824 10.8043801 51493.8026653
825 10.8043801 51493.8026653
826 10.8043801 51493.8026653
827 10.8043801 51493.8026653
828 10.8043801 51493.8026653
829 10.8043801 51493.8026653
830 10.8043801 51493.8026653
831 10.8043801 51493.8026653
832 10.8043801 51493.8026653
833 10.8043801 51493.8026653
834 10.8043801 51493.8026653
835 10.8043801 51493.8026653
836 10.8043801 51493.8026653
837 10.8043801 51493.8026653
838 10.8043801 51493.8026653
839 10.8043801 51493.8026653
840 10.8043801 51493.8026653
841 10.8043801 51493.8026653
842 10.8043801 51493.8026653
843 10.8043801 51493.8026653
844 10.8043801 51493.8026653
845 10.8043801 51493.8026653
846 10.8043801 51493.8026653
847 10.8043801 51493.8026653
848 10.8043801 51493.8026653
849 10.8043801 51493.8026653
850 10.8043801 51493.8026653
851 10.8043801 51493.8026653
852 10.8043801 51493.8026653
853 10.8043801 51493.8026653
854 10.8043801 51493.8026653
855 10.8043801 51493.8026653
856 10.8043801 51493.8026653
857 10.8043801 51493.8026653
858 10.8043801 51493.8026653
859 10.8043801 51493.8026653
860 10.8043801 51493.8026653
861 10.8043801 51493.8026653
862 10.8043801 51493.8026653
863 10.8043801 51493.8026653
864 10.8043801 51493.8026653
865 10.8043801 51493.8026653
866 10.8043801 51493.8026653
867 10.8043801 51493.8026653
868 10.8043801 51493.8026653
869 10.8043801 51493.8026653
870 10.8043801 51493.8026653
871 10.8043801 51493.8026653
872 10.8043801 51493.8026653
873 10.8043801 51493.8026653
874 10.8043801 51493.8026653
875 10.8043801 51493.8026653
876 10.8043801 51493.8026653
877 10.8043801 51493.8026653
878 10.8043801 51493.8026653
879 10.8043801 51493.8026653
880 10.8043801 51493.8026653
881 10.8043801 51493.8026653
882 10.8043801 51493.8026653
883 10.8043801 51493.8026653
884 10.8043801 51493.8026653
885 10.8043801 51493.8026653
