Small burner (W)	Large burner(W)	Bake(W)	Broil(W)
1278	2332	2790	2990
1278	2332	2790	2990
1278	2332	2790	2990
1278	2332	2794	2990
1278	2332	2794	2988
1278	2332	2794	2988
1278	2332	2794	2988
2	4	2794	2988
2	4	2796	2988
2	4	2796	2986
1280	4	2796	2986
1280	4	2796	2986
1280	4	2796	2986
1280	4	2796	2986
1280	4	2794	2986
2	4	2794	2986
2	4	2794	2986
2	4	2794	2986
2	4	2792	2986
1288	4	2792	2986
1288	4	2792	2986
1288	4	2792	2986
1288	4	2792	2986
1288	4	3274	2986
1278	4	3274	2986
1278	4	3274	2986
1278	4	3274	38
1278	4	3274	38
1278	4	2802	38
2	4	2802	38
2	4	2802	38
1286	4	2802	1634
1286	4	2814	1634
1286	4	2814	3004
1286	4	2814	3004
1286	4	2814	3004
2	4	2814	3004
2	4	2814	3004
2	4	2814	3004
406	4	2814	3002
406	2352	2814	3002
1284	2352	2814	3002
1284	2352	2810	3002
1284	2352	2810	2998
1284	2352	2810	2998
1284	4	2810	2998
2	4	2810	2998
2	4	2804	2998
2	4	2804	2994
2	4	2804	2994
530	4	2804	2994
530	4	2804	2994
530	878	2804	2994
1278	878	2804	2990
1278	2358	2804	2990
1278	2358	2804	2990
1278	2358	2804	2990
2	2358	2802	2990
2	2358	2802	2990
700	4	2802	2990
700	4	2802	2990
1282	4	2802	2990
1282	4	2800	2990
1282	4	2800	3000
1282	4	2800	3000
1282	4	2800	3000
158	4	2800	3000
158	2350	2802	3000
158	2350	2802	3004
158	2350	2802	3004
1292	2350	2802	3004
1292	2350	2802	3004
1292	4	2802	3004
1292	4	2802	3008
1292	4	2802	3008
1280	448	2802	3008
1280	448	2802	3008
1280	2356	2800	3008
1280	2356	2800	3004
1280	2356	2800	3004
2	2356	2800	3004
2	2356	2800	3004
1290	4	3290	3004
1290	4	3290	38
1290	4	3290	38
1290	4	3290	38
1290	4	1464	38
16	4	1464	38
16	1496	2810	38
16	1496	2810	38
214	2344	2810	38
214	2344	2810	1698
1280	2344	2810	1698
1280	2344	2808	3026
1280	2344	2808	3026
1280	4	2808	3026
1280	4	2808	3026
94	4	2808	3026
94	4	2808	3026
94	4	2808	3020
94	2136	2808	3020
1140	2136	2808	3020
1140	2348	2808	3020
1140	2348	2804	3018
1280	2348	2804	3018
1280	2348	2804	3018
1280	2348	2804	3018
1280	190	2804	3018
1280	190	2804	3000
2	190	2804	3000
2	190	2804	3000
634	190	2804	3000
634	4	2804	3000
1286	4	2802	3002
1286	4	2802	3002
1286	4	2802	3002
1286	376	2802	3002
1286	376	2802	3002
2	2358	2804	3000
2	2358	2804	3000
2	2358	2804	3000
250	2358	2804	3000
250	2358	2804	3000
1286	4	2808	2998
