Regular (W)	PermPress (W)	Delicates (W)
69.2	96.6	8.5
69.3	114.9	7.5
69.3	11.1	7.5
69.2	9.2	7.4
69.2	8.3	7.4
70.1	8.2	7.3
69.9	8.2	7.3
69.7	8.2	7.9
69.7	8.1	7.9
70.3	8.2	359
70.2	133.8	359
74.4	110.5	183
53.8	126.5	183
49.4	107.7	8.3
46.7	127.4	8.3
46.7	108.6	7.6
8.8	113.9	7.6
7.5	98	7.4
60	10.1	7.4
62.6	8.6	7.3
10	8.6	7.3
7.7	8.2	7.4
7.4	8.1	7.4
7.4	8.1	305
7.4	8.2	305
7.3	13.4	110
62.4	106.4	110
10.9	122.1	8.1
7.5	132.9	8.1
7.3	132.9	7.5
7.4	97.1	7.5
7.4	98.9	7.3
7.4	109	7.3
68.4	40.8	7.4
9.2	10.9	7.4
7.5	8.4	90
7.5	8.2	90
7.3	8.2	315
68.5	8.3	315
64.2	8.1	48.5
49.3	8.2	48.5
47.1	50.3	9
47.1	116.3	9
47	112.9	7.4
47.2	108.4	7.4
47.2	110.5	7.4
8.6	111.5	7.4
7.5	99.5	7.3
7.4	105.3	7.3
7.4	30	7.3
7.3	30	7.3
7.4	8.4	288
7.3	8.2	288
7.3	8.1	18.8
7.4	8.1	18.8
7.2	8.1	7.8
7.3	8.1	7.8
7.2	91.5	7.6
7.1	144.1	7.6
7.2	98.7	7.5
7.2	110.4	7.5
7.3	108.4	7.5
7.3	94.2	7.5
7.3	112.6	7.3
7.3	114.2	7.3
7.3	18.8	71
7.3	8.7	71
7.2	8.5	71.5
62.1	8.3	71.5
48.1	8.2	71.7
46.7	8.1	71.7
46.9	8.1	71.7
46.8	8.2	71.7
46.6	105.8	71.7
46.4	104.1	71.7
46.2	120.8	71.7
8.4	114.2	71.7
7.4	129.2	71.6
7.3	111.9	71.6
7.3	128.3	71.7
7.3	142.2	71.7
7.2	24.9	71.6
7.2	8.6	71.6
7.2	8.3	71.6
7.3	8.2	71.6
7.2	8.1	71.6
7.3	8.1	71.6
7.2	8.2	71.8
7.3	8.1	71.8
7.2	107.9	71.8
7.3	110.1	71.8
7.2	121.2	71.7
7.2	110.1	71.7
7.2	97.6	71.6
7.3	112.8	71.6
7.3	114.2	72
7.2	43	72
7.2	11	72
61.8	8.6	72
49.1	8.4	71.8
47.2	8.2	71.8
46.7	8.2	57.1
46.6	8.2	57.1
46.5	8.2	48.1
46.4	53.9	48.1
46.3	122.8	9.5
8.2	96.5	9.5
7.4	110.6	52.6
7.2	108.1	52.6
7.2	121.3	12
7.3	128.2	12
7.3	112.5	61.3
7.3	24.7	61.3
7.3	24.7	54.7
7.3	8.5	54.7
7.3	8.3	46.6
7.3	8.1	46.6
7.2	8.2	7.6
7.2	8.1	7.6
7.2	8.2	7.3
7.3	88.8	7.3
7.2	119.3	7.3
7.2	124.6	7.3
7.2	134.1	7.2
7.3	111.2	7.2
7.4	99.7	7.2
7.4	99.7	7.2
7.2	114	54.3
58.4	42.5	54.3
46.8	9.1	47.3
46.8	8.3	47.3
46.9	8.1	46.4
46.5	8.1	46.4
46.4	8.1	46.2
46.4	8.1	46.2
46.4	8.1	9
46.3	58.5	9
46.1	103.7	7.4
46.2	111.5	7.4
46.3	100.3	7.3
46.6	95.1	7.3
46.4	117.4	7.3
46.3	88.8	7.3
46.2	120.8	7.3
46.4	11.8	7.3
46.3	8.7	7.2
46.3	8.2	7.2
46.1	8.2	7.2
46.3	8.2	7.2
46.3	8.1	7.3
46.4	8.1	7.3
46.6	8.1	7.2
46.5	83.9	7.2
46.3	121.8	7.2
46.5	120.9	7.2
46.5	114.2	7.3
46.5	94	7.3
46.4	115	56.3
29.3	139	56.3
7.7	126.1	46.5
7.5	10.8	46.5
7.4	8.6	46
7.3	8.3	46
7.3	8.2	45.8
7.2	8.1	45.8
7.3	8.1	8.9
7.2	8	8.9
7.3	8.2	7.3
7.2	112.5	7.3
7.3	112.5	7.3
7.4	107.7	7.3
7.3	95.6	7.2
7.3	127.3	7.2
7.2	126.1	7.2
7.2	105.7	7.2
7.3	67.7	7.2
7.2	9.5	7.2
7.2	9.5	7.2
7.3	8.3	7.2
7.3	8.1	7.2
7.3	8	7.2
7.2	8	7.2
7.2	8	7.2
7.6	19	7.2
7.2	115.9	7.2
7.2	130.8	7.2
7.2	104.1	7.2
7.3	103.1	49.3
7.2	96.4	49.3
10	97.4	46.4
10	97.4	46.4
95.7	37.7	45.8
134.6	10.6	45.8
91.3	8.4	45.7
103.6	8.2	45.7
126	8.1	8.7
93.3	8.2	8.7
64	8.1	7.3
65.9	8.2	7.3
64.4	61.8	7.3
61.7	114.2	7.3
60.4	100.2	7.2
60	103.6	7.2
59.6	103.6	7.2
47.7	118.9	7.2
46.7	92.7	7.2
32	91.7	7.2
21.1	23.1	7.2
61.3	8.7	7.2
62.9	8.4	7.2
68.3	8.2	7.2
58.1	8.2	7.1
43.6	8.1	7.1
42.8	8.2	7.2
40.4	8.2	7.2
28.5	76.4	7.2
28	76.4	7.2
26.1	123.7	50.1
22.9	109.3	50.1
22.2	108.3	45.8
22.2	101	45.8
13	114	45.7
7.5	112.5	45.7
7.3	15.6	45.7
49.7	15.6	45.7
92.6	8.2	45.6
84.9	8.2	45.6
88.2	8.1	45.3
109.3	8.1	45.3
103.6	8.1	45.5
74	8	45.5
70.3	131.9	45.6
66.2	110.2	45.6
66.2	111.1	45.6
66.5	121.9	45.6
65	121.9	45.6
66	132.3	45.6
62	123.1	45.5
70.8	71.2	45.5
67.4	24.5	45.6
65.3	8.9	45.6
63.6	8.3	45.6
63.2	8.3	45.6
63.3	8.3	45.7
63.1	8.1	45.7
62.9	8.2	45.5
48.9	7.7	45.5
47.5	16.6	39.1
47.2	16.6	39.1
61.4	74.2	7.3
61.4	74.6	7.3
73.8	74.6	7.2
70	74.6	7.2
51	74.8	7.3
57.4	74.7	7.3
47.5	74.7	7.1
41.7	74.7	7.1
18.6	74.7	7.2
