Regular (kW)	PermPress (kW)	Delicates (kW)
0.004	0.44	0.452
0.004	0.44	0.448
0.004	0.44	0.448
0.004	0.44	0.448
0.004	0.44	0.448
0.006	0.438	0.448
0.006	0.438	0.452
0.006	0.438	0.452
0.006	0.438	0.452
0.006	0.438	0.452
0.006	0.438	0.452
0.006	0.438	0.452
0.006	0.438	0.452
0.006	0.438	0.452
0.006	0.438	0.452
0.004	0.44	0.452
0.004	0.44	0.452
0.004	0.44	0.452
0.004	0.44	0.452
0.004	0.44	0.452
0.006	0.438	0.452
0.006	0.438	0.452
0.006	0.438	0.452
0.006	0.438	0.452
0.006	0.438	0.452
0.004	0.438	0.452
0.004	0.438	0.45
0.004	0.438	0.45
0.004	0.438	0.45
0.004	0.438	0.45
0.004	0.44	0.45
0.004	0.44	0.444
0.004	0.44	0.444
0.004	0.44	0.444
0.004	0.44	0.444
0.004	0.44	0.444
0.004	0.44	0.45
0.004	0.44	0.45
